Code zone (FAO),Zone,politc_stab,n_pop,inflation,deflator,chik_export,chik_import,disp_alim
64,Îles Féroé,0.0,432.384,0.0,0.0,33352678.907117646,33120962.228784315,3034.9288039215703
65,Îles Falkland (Malvinas),0.0,26.247,0.0,0.0,33352678.907117646,33120962.228784315,3034.9288039215703
66,Fidji,408.87,774414.135,0.0,112442.5071,0.0,91896.0,799.59
67,Finlande,1033.56,4859292.735,0.0,95758.1028,23543436.0,3534300.0,35290.979999999996
68,Bolivie (?tat plurinational de),0.0,0.0,683.37036,0.0,33352678.907117646,33120962.228784315,3034.9288039215703
68,France,318.78000000000003,63437755.589999996,0.0,102590.415,1353520890.0,198335952.0,36061.2
69,Guyane française,0.0,2305.828,0.0,0.0,33352678.907117646,33120962.228784315,3034.9288039215703
70,Bosnie-Herz?govine,0.0,0.0,77.398711,0.0,33352678.907117646,33120962.228784315,3034.9288039215703
70,Polyn?sie fran?aise,0.0,0.0,0.0,1040.4311,0.0,1770.0,0.0
70,Polynésie française,0.0,2446.6639999999998,0.0,0.0,0.0,0.0,96.65
72,Botswana,0.0,0.0,560.806728,0.0,33352678.907117646,33120962.228784315,3034.9288039215703
72,Djibouti,-253.44,889913.64,0.0,91509.633,0.0,0.0,65.59
73,G?orgie,-53.35,0.0,0.0,11262.479,156312.0,278834.0,0.0
73,Géorgie,0.0,36379.525,0.0,0.0,0.0,0.0,75.24000000000001
74,Gabon,93.06,1672999.515,0.0,88808.319,540.0,236808.0,2362.2
75,Gambie,-57.42,1808045.811,0.0,93953.9736,54264.0,29104.0,1509.6
76,Br?sil,0.0,0.0,958.2469619999999,0.0,33352678.907117646,33120962.228784315,3034.9288039215703
79,Allemagne,643.5,72769357.287,0.0,104717.7072,5279139360.0,1956109320.0,32636.52
80,Bosnie-Herz?govine,-35.31,0.0,0.0,7718.5731,1290312.0,3445686.0,0.0
80,Bosnie-Herzégovine,0.0,31487.407,0.0,0.0,0.0,0.0,92.78999999999999
81,Ghana,28.71,26973717.76,0.0,99318.114,302562.0,33854730.0,11185.199999999999
